Atom lexical,Pozitie in TS
HASH,-1
KEYWORD_INCLUDE,-1
LT,-1
IDENTIFIER,7
GT,-1
KEYWORD_USING,-1
KEYWORD_NAMESPACE,-1
KEYWORD_STD,-1
SEMICOLON,-1
TYPE_INT,-1
IDENTIFIER,8
LPAREN,-1
RPAREN,-1
LBRACE,-1
TYPE_INT,-1
IDENTIFIER,4
COMMA,-1
IDENTIFIER,5
SEMICOLON,-1
IDENTIFIER,4
ASSIGN,-1
INTEGER_LITERAL,2
SEMICOLON,-1
IDENTIFIER,5
ASSIGN,-1
DOUBLE_LITERAL,1
SEMICOLON,-1
IDENTIFIER,6
ASSIGN,-1
DOUBLE_LITERAL,3
KEYWORD_COUT,-1
OUTPUT_OP,-1
IDENTIFIER,4
PLUS,-1
IDENTIFIER,5
SEMICOLON,-1
RBRACE,-1
EOF,-1
