Atom lexical,Value,Line,Pozitie in TS
INCLUDE_STATEMENT,#include,1
LESS_THAN,<,1
IDENTIFIER,iostream,1,0
GREATER_THAN,>,1
USING_STATEMENT,using namespace std;,3
TYPE,int,5
IDENTIFIER,main,5,1
LEFT PARAN,(,5
RIGHT PARAN,),5
LEFT BRACE,{,5
TYPE,int,6
IDENTIFIER,a,6,2
COMMA,comma_symbol,6
IDENTIFIER,b,6,3
SEMI COLON,;,6
IDENTIFIER,a,7,2
EQUAL, =, 7
INTEGER,5,7,4
SEMI COLON,;,7
IDENTIFIER,b,8,3
EQUAL, =, 8
DOUBLE,10.5,8,5
SEMI COLON,;,8
IDENTIFIER,c,9,6
EQUAL, =, 9
DOUBLE,70.67,9,7
SEMI COLON,;,9
IDENTIFIER,d,10,8
EQUAL, =, 10
SEMI COLON,;,10
IDENTIFIER,e,11,10
EQUAL, =, 11
OCTAL,0123567,11,11
SEMI COLON,;,11
IDENTIFIER,f,12,12
EQUAL, =, 12
HEXA,0b01010101,12,13
SEMI COLON,;,12
IDENTIFIER,g,13,14
EQUAL, =, 13
DOUBLE,10.10,13,15
SEMI COLON,;,13
IDENTIFIER,_ident,14,16
EQUAL, =, 14
HEXA,0B1,14,17
SEMI COLON,;,14
WRITE, cout, 15
SHIFT LEFT,<<,15
IDENTIFIER,a,15,2
OPERATOR,+,15
IDENTIFIER,b,15,3
OPERATOR,+,15
IDENTIFIER,c,15,6
OPERATOR,+,15
IDENTIFIER,_ident,15,16
SEMI COLON,;,15
IDENTIFIER,a,16,2
EQUAL, =, 16
INTEGER,10,16,18
SEMI COLON,;,16
CEREMONIE, ceremonie, 17
EQUAL, =, 17
INTEGER,10,17,18
SEMI COLON,;,17
CEREMONIE, ceremonie_sufix, 18
EQUAL, =, 18
INTEGER,123,18,19
SEMI COLON,;,18
CEREMONIE, prefix_ceremonie, 19
EQUAL, =, 19
INTEGER,123,19,19
SEMI COLON,;,19
CEREMONIE, asafsafsaceremonieeq24wqd, 20
EQUAL, =, 20
INTEGER,12,20,20
SEMI COLON,;,20
RIGHT BRACE,},22
